"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"clairon courroucé  ( Dermestoides sanguinicollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cleridae"	234673	"Dermestoides sanguinicollis"	"Dermestoides sanguinicollis (Fabricius, 1787)"	"clairon courroucé"													"Déterminante stricte"
"-  ( Opilo abeillei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Cleridae"	234676	"Opilo abeillei"	"Opilo abeillei Korge, 1960"	""													"Déterminante stricte"
"-  ( Triplax aenea )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Erotylidae"	234837	"Triplax aenea"	"Triplax aenea (Schaller, 1783)"	""													"Déterminante stricte"
"-  ( Triplax lacordairei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Erotylidae"	234840	"Triplax lacordairei"	"Triplax lacordairii Crotch, 1870"	""													"Déterminante stricte"
"-  ( Nematodes filum )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Eucnemidae"	234850	"Nematodes filum"	"Nematodes filum (Fabricius, 1801)"	""													"Déterminante stricte"
"-  ( Rhacopus pyrenaeus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Eucnemidae"	234857	"Rhacopus pyrenaeus"	"Microrhagus pyrenaeus Bonvouloir, 1872"	""													"Déterminante stricte"
"-  ( Epiphanis cornutus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Eucnemidae"	234859	"Epiphanis cornutus"	"Epiphanis cornutus Eschscholtz, 1829"	""													"Déterminante stricte"
"-  ( Hylis procerulus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Eucnemidae"	234863	"Hylis procerulus"	"Hylis procerulus (Mannerheim, 1823)"	""													"Déterminante stricte"
"-  ( Benibotarus alternatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lycidae"	235101	"Benibotarus alternatus"	"Benibotarus alternatus (Fairmaire, 1857)"	""													"Déterminante stricte"
"Lyce fâché  ( Lopheros rubens )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lycidae"	235103	"Lopheros rubens"	"Lopheros rubens (Gyllenhal, 1817)"	"Lyce fâché"													"Déterminante stricte"
"Lyce de Stendhal  ( Pyropterus nigroruber )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lycidae"	235106	"Pyropterus nigroruber"	"Pyropterus nigroruber (De Geer, 1774)"	"Lyce de Stendhal"													"Déterminante stricte"
"-  ( Peltis grossa )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Peltidae"	235422	"Peltis grossa"	"Peltis grossa (Linnaeus, 1758)"	""													"Déterminante stricte"
