"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN_N"	"LRN_N_det"	"LRN_H"	"LRN_H_det"	"LRN_P"	"LRN_P_det"	"LRR_N"	"LRR_N_det"	"LRR_H"	"LRR_H_det"	"LRR_P"	"LRR_P_det"	"DO"	"DO_det"	"PN"	"PN_det"	"ZNIEFF"
"*  Paruline flamboyante  ( Setophaga ruticilla )"	"Chordata"	"Aves"	"Passeriformes"	"Parulidae"	4636	"Setophaga ruticilla"	"Setophaga ruticilla (Linnaeus, 1758)"	"Paruline flamboyante, Sylvette flamboyante"					"NA"	"b"									"NO4"	""	
"*  Bruant lapon  ( Calcarius lapponicus )"	"Chordata"	"Aves"	"Passeriformes"	"Calcariidae"	4644	"Calcarius lapponicus"	"Calcarius lapponicus (Linnaeus, 1758)"	"Bruant lapon"			"NA"	"c"	"NA"	"c"									"NO3"	""	
"*  Bruant des neiges  ( Plectrophenax nivalis )"	"Chordata"	"Aves"	"Passeriformes"	"Calcariidae"	4649	"Plectrophenax nivalis"	"Plectrophenax nivalis (Linnaeus, 1758)"	"Bruant des neiges"			"NA"	"c"	"NA"	"c"									"NO3"	""	
"*  Bruant à tête rousse  ( Emberiza bruniceps )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4654	"Emberiza bruniceps"	"Emberiza bruniceps Brandt, 1841"	"Bruant à tête rousse"					"NA"	"b"									"NO4"	""	
"*  Bruant jaune  ( Emberiza citrinella )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4657	"Emberiza citrinella"	"Emberiza citrinella Linnaeus, 1758"	"Bruant jaune"	"VU"	"A2b"	"NA"	"d"	"NA"	"d"	"NT"	"VU (A2b) (-1)"							"NO3"	""	
"*  Bruant zizi  ( Emberiza cirlus )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4659	"Emberiza cirlus"	"Emberiza cirlus Linnaeus, 1766"	"Bruant zizi"	"LC"	""			"NA"	"d"	"LC"	""							"NO3"	""	
"*  Bruant fou  ( Emberiza cia )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4663	"Emberiza cia"	"Emberiza cia Linnaeus, 1766"	"Bruant fou"	"LC"	""					"LC"	""							"NO3"	""	
"*  Bruant ortolan  ( Emberiza hortulana )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4665	"Emberiza hortulana"	"Emberiza hortulana Linnaeus, 1758"	"Bruant ortolan"	"EN"	"A2b"			"EN"	"A2b"	"VU"	"C1"					"CDO1"	""	"NO3"	""	"Déterminante à critère - 10 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux agrosystèmes et garrigues si moins de 10 couples"
"*  Bruant nain  ( Emberiza pusilla )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4667	"Emberiza pusilla"	"Emberiza pusilla Pallas, 1776"	"Bruant nain"					"NA"	"b"									"NO4"	""	
"*  Bruant des roseaux  ( Emberiza schoeniclus )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4669	"Emberiza schoeniclus"	"Emberiza schoeniclus (Linnaeus, 1758)"	"Bruant des roseaux"	"EN"	"A2b"			"NA"	"c"									"NO3"	""	
"*  -  ( Emberiza schoeniclus schoeniclus )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4671	"Emberiza schoeniclus schoeniclus"	"Emberiza schoeniclus schoeniclus (Linnaeus, 1758)"	""							"CR"	"D1"							"NO3"	""	
"*  -  ( Emberiza schoeniclus witherbyi )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4673	"Emberiza schoeniclus witherbyi"	"Emberiza schoeniclus witherbyi von Jordans, 1923"	""	"EN"	"B(1+2)ab(iii,v)"					"EN"	"B(1+2)ab(iii)"							"NO3"	""	
"*  Bruant cendrillard  ( Emberiza caesia )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4674	"Emberiza caesia"	"Emberiza caesia Cretzschmar, 1826"	"Bruant cendrillard"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Bruant rustique  ( Emberiza rustica )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4676	"Emberiza rustica"	"Emberiza rustica Pallas, 1776"	"Bruant rustique"					"NA"	"b"									"NO4"	""	
"*  Bruant auréole  ( Emberiza aureola )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4678	"Emberiza aureola"	"Emberiza aureola Pallas, 1773"	"Bruant auréole"					"NA"	"b"									"NO4"	""	
"*  Bruant mélanocéphale  ( Emberiza melanocephala )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4680	"Emberiza melanocephala"	"Emberiza melanocephala Scopoli, 1769"	"Bruant mélanocéphale"	"NA"	"b"			"NA"	"b"									"NO3"	""	
"*  Bruant proyer  ( Emberiza calandra )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	4686	"Emberiza calandra"	"Emberiza calandra Linnaeus, 1758"	"Bruant proyer"	"LC"	""					"LC"	""							"NO3"	""	
"*  Cardinal à poitrine rose  ( Pheucticus ludovicianus )"	"Chordata"	"Aves"	"Passeriformes"	"Cardinalidae"	4690	"Pheucticus ludovicianus"	"Pheucticus ludovicianus (Linnaeus, 1766)"	"Cardinal à poitrine rose, Grosbec à poitrine rose"					"NA"	"b"									"NO4"	""	
"*  Goglu des prés  ( Dolichonyx oryzivorus )"	"Chordata"	"Aves"	"Passeriformes"	"Icteridae"	4694	"Dolichonyx oryzivorus"	"Dolichonyx oryzivorus (Linnaeus, 1758)"	"Goglu des prés, Bobolink"					"NA"	"b"									"NO4"	""	
"Gélinotte des bois  ( Bonasa bonasia )"	"Chordata"	"Aves"	"Galliformes"	"Phasianidae"	199294	"Bonasa bonasia"	"Bonasa bonasia (Linnaeus, 1758)"	"Gélinotte des bois"	"NT"	"pr. C"					"RE"	""					"CDO22, CDO1"	" "			
"*  Fuligule à dos blanc  ( Aythya valisineria )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199303	"Aythya valisineria"	"Aythya valisineria (Wilson, 1814)"	"Fuligule à dos blanc"															"NO4"	""	
"*  Fuligule à tête noire  ( Aythya affinis )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199305	"Aythya affinis"	"Aythya affinis (Eyton, 1838)"	"Fuligule à tête noire, Petit Fuligule, Petit morillon"					"NA"	"b"									"NO4"	""	
"*  Eider de Steller  ( Polysticta stelleri )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199307	"Polysticta stelleri"	"Polysticta stelleri (Pallas, 1769)"	"Eider de Steller"					"NA"	"b"							"CDO1"	""	"NO4"	""	
"*  Macreuse à bec jaune  ( Melanitta americana )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199308	"Melanitta americana"	"Melanitta americana (Swainson, 1832)"	"Macreuse à bec jaune"					"NA"	"b"									"NO4"	""	
"*  Macreuse à ailes blanches  ( Melanitta deglandi )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199309	"Melanitta deglandi"	"Melanitta deglandi (Bonaparte, 1850)"	"Macreuse à ailes blanches"					"NA"	"b"									"NO4"	""	
"*  Garrot albéole  ( Bucephala albeola )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199310	"Bucephala albeola"	"Bucephala albeola (Linnaeus, 1758)"	"Garrot albéole"					"NA"	"b"									"NO4"	""	
"*  Harle couronné  ( Lophodytes cucullatus )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199311	"Lophodytes cucullatus"	"Lophodytes cucullatus (Linnaeus, 1758)"	"Harle couronné"															"NO4"	""	
"*  Harle piette  ( Mergellus albellus )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	199312	"Mergellus albellus"	"Mergellus albellus (Linnaeus, 1758)"	"Harle piette"			"VU"	"D1"									"CDO1"	""	"NO3"	""	
"*  Puffin des Baléares  ( Puffinus mauretanicus )"	"Chordata"	"Aves"	"Procellariiformes"	"Procellariidae"	199318	"Puffinus mauretanicus"	"Puffinus mauretanicus P. R. Lowe, 1921"	"Puffin des Baléares"			"NA"	"b"	"VU"	"C1"							"CDO1"	""	"NO3"	""	
"*  Fou masqué  ( Sula dactylatra )"	"Chordata"	"Aves"	"Pelecaniformes"	"Sulidae"	199320	"Sula dactylatra"	"Sula dactylatra Lesson, 1831"	"Fou masqué"					"NA"	"b"									"NO4"	""	
"*  Fou brun  ( Sula leucogaster )"	"Chordata"	"Aves"	"Pelecaniformes"	"Sulidae"	199321	"Sula leucogaster"	"Sula leucogaster (Boddaert, 1783)"	"Fou brun"															"NO4"	""	
"*  Cormoran à aigrettes  ( Phalacrocorax auritus )"	"Chordata"	"Aves"	"Pelecaniformes"	"Phalacrocoracidae"	199323	"Phalacrocorax auritus"	"Phalacrocorax auritus (Lesson, 1831)"	"Cormoran à aigrettes"					"NA"	"b"									"NO4"	""	
"*  Héron vert  ( Butorides virescens )"	"Chordata"	"Aves"	"Pelecaniformes"	"Ardeidae"	199328	"Butorides virescens"	"Butorides virescens (Linnaeus, 1758)"	"Héron vert, Caiali"					"NA"	"b"									"NO4"	""	
"*  Grand Héron  ( Ardea herodias )"	"Chordata"	"Aves"	"Pelecaniformes"	"Ardeidae"	199333	"Ardea herodias"	"Ardea herodias Linnaeus, 1758"	"Grand Héron"					"NA"	"b"									"NO4"	""	
"*  Flamant rose  ( Phoenicopterus roseus )"	"Chordata"	"Aves"	"Phoenicopteriformes"	"Phoenicopteridae"	199335	"Phoenicopterus roseus"	"Phoenicopterus roseus Pallas, 1811"	"Flamant rose"	"VU"	"CR B2ac(ii,iv) (-2)"	"NA"	"d"			"NT"	"pr. EN (B(1+2)a)"							"NO3"	""	"Déterminante à critère - 800 individus hivernant"
"*  Vautour de Rüppell  ( Gyps rueppellii )"	"Chordata"	"Aves"	"Accipitriformes"	"Accipitridae"	199338	"Gyps rueppellii"	"Gyps rueppellii (Brehm, 1852)"	"Vautour de Rüppell"															"NO4"	""	
"*  Faucon concolore  ( Falco concolor )"	"Chordata"	"Aves"	"Falconiformes"	"Falconidae"	199343	"Falco concolor"	"Falco concolor Temminck, 1825"	"Faucon concolore"					"NA"	"b"									"NO4"	""	
"*  Outarde de Macqueen  ( Chlamydotis macqueenii )"	"Chordata"	"Aves"	"Otidiformes"	"Otididae"	199347	"Chlamydotis macqueenii"	"Chlamydotis macqueenii (J. E. Gray, 1832)"	"Outarde de Macqueen"					"NA"	"b"									"NO4"	""	
"*  Bécasseau à cou roux  ( Calidris ruficollis )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	199353	"Calidris ruficollis"	"Calidris ruficollis (Pallas, 1776)"	"Bécasseau à cou roux"					"NA"	"b"									"NO4"	""	
"*  Bécasseau à longs doigts  ( Calidris subminuta )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	199354	"Calidris subminuta"	"Calidris subminuta (Middendorff, 1853)"	"Bécasseau à longs doigts"															"NO4"	""	
"*  Bartramie des champs  ( Bartramia longicauda )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	199360	"Bartramia longicauda"	"Bartramia longicauda (Bechstein, 1812)"	"Bartramie des champs, Bartramie à longue queue, Maubèche des champs"					"NA"	"b"									"NO4"	""	
"*  Gravelot semipalmé  ( Charadrius semipalmatus )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	199364	"Charadrius semipalmatus"	"Charadrius semipalmatus Bonaparte, 1825"	"Gravelot semipalmé, Pluvier semipalmé"															"NO4"	""	
"*  Gravelot pâtre  ( Charadrius pecuarius )"	"Chordata"	"Aves"	"Charadriiformes"	"Charadriidae"	199365	"Charadrius pecuarius"	"Charadrius pecuarius Temminck, 1823"	"Gravelot pâtre"					"NA"	"b"									"NO4"	""	
"*  Pluvian fluviatile  ( Pluvianus aegyptius )"	"Chordata"	"Aves"	"Charadriiformes"	"Pluvianidae"	199368	"Pluvianus aegyptius"	"Pluvianus aegyptius (Linnaeus, 1758)"	"Pluvian fluviatile"															"NO4"	""	
"*  Glaréole orientale  ( Glareola maldivarum )"	"Chordata"	"Aves"	"Charadriiformes"	"Glareolidae"	199369	"Glareola maldivarum"	"Glareola maldivarum J. R. Forster, 1795"	"Glaréole orientale, Glaréole des Maldives"															"NO4"	""	
"*  Goéland leucophée  ( Larus michahellis )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	199374	"Larus michahellis"	"Larus michahellis Naumann, 1840"	"Goéland leucophée"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
"*  Sterne de Forster  ( Sterna forsteri )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	199377	"Sterna forsteri"	"Sterna forsteri Nuttall, 1834"	"Sterne de Forster"					"NA"	"b"									"NO4"	""	
"*  Coulicou à bec noir  ( Coccyzus erythropthalmus )"	"Chordata"	"Aves"	"Cuculiformes"	"Cuculidae"	199394	"Coccyzus erythropthalmus"	"Coccyzus erythropthalmus (Wilson, 1811)"	"Coulicou à bec noir, Coucou à bec noir"															"NO4"	""	
"*  Engoulevent d'Amérique  ( Chordeiles minor )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Caprimulgidae"	199396	"Chordeiles minor"	"Chordeiles minor (J.R. Forster, 1771)"	"Engoulevent d'Amérique"					"NA"	"b"									"NO4"	""	
"*  Martinet ramoneur  ( Chaetura pelagica )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	199398	"Chaetura pelagica"	"Chaetura pelagica (Linnaeus, 1758)"	"Martinet ramoneur"					"NA"	"b"									"NO4"	""	
"*  Martinet des maisons  ( Apus affinis )"	"Chordata"	"Aves"	"Caprimulgiformes"	"Apodidae"	199399	"Apus affinis"	"Apus affinis (J.E. Gray, 1830)"	"Martinet des maisons"					"NA"	"b"									"NO4"	""	
"*  Pie-grièche brune  ( Lanius cristatus )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	199406	"Lanius cristatus"	"Lanius cristatus Linnaeus, 1758"	"Pie-grièche brune"					"NA"	"b"									"NO4"	""	
"*  Pie-grièche méridionale  ( Lanius meridionalis )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	199409	"Lanius meridionalis"	"Lanius meridionalis Temminck, 1820"	"Pie-grièche méridionale"	"EN"	"C2a(i)"					"EN"	"C2a(i)"							"NO3"	""	"Déterminante à critère - 11 couples avec preuve de reproduction ou présence du cortège avifaunistique des déterminantes ZNIEFF inféodées aux agrosystèmes et garrigues si moins de 11 couples"
"*  Pie bleue  ( Cyanopica cyanus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	199411	"Cyanopica cyanus"	"Cyanopica cyanus (Pallas, 1776)"	"Pie bleue"															"NO4"	""	
"*  Choucas de Daourie  ( Corvus dauuricus )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	199412	"Corvus dauuricus"	"Corvus dauuricus Pallas, 1776"	"Choucas de Daourie"					"NA"	"b"									"NO4"	""	
"*  Corbeau familier  ( Corvus splendens )"	"Chordata"	"Aves"	"Passeriformes"	"Corvidae"	199413	"Corvus splendens"	"Corvus splendens Vieillot, 1817"	"Corbeau familier, Corneille de l'Inde"															"NO4"	""	
"*  Tarier pâtre  ( Saxicola rubicola )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	199425	"Saxicola rubicola"	"Saxicola rubicola (Linnaeus, 1766)"	"Tarier pâtre"	"NT"	"pr. A2b"	"NA"	"d"	"NA"	"d"	"VU"	"EN (A2b) (-1)"							"NO3"	""	
"*  Traquet du désert  ( Oenanthe deserti )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	199428	"Oenanthe deserti"	"Oenanthe deserti (Temminck, 1825)"	"Traquet du désert"					"NA"	"b"									"NO4"	""	
"*  Traquet à tête blanche  ( Oenanthe leucopyga )"	"Chordata"	"Aves"	"Passeriformes"	"Muscicapidae"	199432	"Oenanthe leucopyga"	"Oenanthe leucopyga (C.L. Brehm, 1855)"	"Traquet à tête blanche"					"NA"	"b"									"NO4"	""	
"*  Grive dorée  ( Zoothera aurea )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	199434	"Zoothera aurea"	"Zoothera aurea (Holandre, 1825)"	"Grive dorée"					"NA"	"b"									"NO4"	""	
"*  Grive à ailes rousses  ( Turdus eunomus )"	"Chordata"	"Aves"	"Passeriformes"	"Turdidae"	199440	"Turdus eunomus"	"Turdus eunomus Temminck, 1831"	"Grive à ailes rousses"					"NA"	"b"									"NO4"	""	
"*  Locustelle lancéolée  ( Locustella lanceolata )"	"Chordata"	"Aves"	"Passeriformes"	"Locustellidae"	199458	"Locustella lanceolata"	"Locustella lanceolata (Temminck, 1840)"	"Locustelle lancéolée"					"NA"	"b"									"NO4"	""	
"*  Rousserolle isabelle  ( Acrocephalus agricola )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	199459	"Acrocephalus agricola"	"Acrocephalus agricola (Jerdon, 1845)"	"Rousserolle isabelle"					"NA"	"b"									"NO4"	""	
"*  Hypolaïs obscure  ( Iduna opaca )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	199462	"Iduna opaca"	"Iduna opaca (Cabanis, 1851)"	"Hypolaïs obscure"					"NA"	"b"									"NO4"	""	
"*  Hypolaïs pâle  ( Iduna pallida )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	199463	"Iduna pallida"	"Iduna pallida (Hemprich & Ehrenberg, 1833)"	"Hypolaïs pâle"					"NA"	"b"									"NO4"	""	
"*  Hypolaïs rama  ( Iduna rama )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	199464	"Iduna rama"	"Iduna rama (Sykes, 1832)"	"Hypolaïs rama"					"NA"	"b"									"NO4"	""	
"*  Hypolaïs bottée  ( Iduna caligata )"	"Chordata"	"Aves"	"Passeriformes"	"Acrocephalidae"	199465	"Iduna caligata"	"Iduna caligata (Lichtenstein, 1823)"	"Hypolaïs bottée, Hypolaïs russe, Hypolaïs de Russie"					"NA"	"b"									"NO4"	""	
"*  Fauvette de l'Atlas  ( Sylvia deserticola )"	"Chordata"	"Aves"	"Passeriformes"	"Sylviidae"	199467	"Sylvia deserticola"	"Sylvia deserticola Tristram, 1859"	"Fauvette de l'Atlas"															"NO4"	""	
"Pouillot à pattes sombres  ( Phylloscopus plumbeitarsus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	199472	"Phylloscopus plumbeitarsus"	"Phylloscopus plumbeitarsus Swinhoe, 1861"	"Pouillot à pattes sombres, Pouillot à deux barres, Pouillot ardoisé"					"NA"	"b"											
"*  Pouillot de Hume  ( Phylloscopus humei )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	199473	"Phylloscopus humei"	"Phylloscopus humei (Brooks, 1878)"	"Pouillot de Hume"					"NA"	"b"									"NO4"	""	
"*  Pouillot oriental  ( Phylloscopus orientalis )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	199474	"Phylloscopus orientalis"	"Phylloscopus orientalis (C.L. Brehm, 1855)"	"Pouillot oriental"					"NA"	"b"									"NO4"	""	
"*  Pouillot ibérique  ( Phylloscopus ibericus )"	"Chordata"	"Aves"	"Passeriformes"	"Phylloscopidae"	199477	"Phylloscopus ibericus"	"Phylloscopus ibericus Ticehurst, 1937"	"Pouillot ibérique, Pouillot véloce ibérique"	"EN"	"C2a(i)"			"NA"	"b"									"NO3"	""	
"*  Bulbul des jardins  ( Pycnonotus barbatus )"	"Chordata"	"Aves"	"Passeriformes"	"Pycnonotidae"	199479	"Pycnonotus barbatus"	"Pycnonotus barbatus (Desfontaines, 1789)"	"Bulbul des jardins"															"NO4"	""	
"*  Pipit de Godlewski  ( Anthus godlewskii )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	199489	"Anthus godlewskii"	"Anthus godlewskii (Taczanowski, 1876)"	"Pipit de Godlewski"					"NA"	"b"									"NO4"	""	
"*  Pipit farlousane  ( Anthus rubescens )"	"Chordata"	"Aves"	"Passeriformes"	"Motacillidae"	199492	"Anthus rubescens"	"Anthus rubescens (Tunstall, 1771)"	"Pipit farlousane"					"NA"	"b"									"NO4"	""	
"Moineau cisalpin  ( Passer italiae )"	"Chordata"	"Aves"	"Passeriformes"	"Passeridae"	199494	"Passer italiae"	"Passer italiae (Vieillot, 1817)"	"Moineau cisalpin"	"LC"	""															
"*  Serin des Canaries  ( Serinus canaria )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	199501	"Serinus canaria"	"Serinus canaria (Linnaeus, 1758)"	"Serin des Canaries"															"NO4"	""	
"*  Venturon corse  ( Carduelis corsicana )"	"Chordata"	"Aves"	"Passeriformes"	"Fringillidae"	199502	"Carduelis corsicana"	"Carduelis corsicana (Koenig, 1899)"	"Venturon corse"	"LC"	""													"NO3"	""	
"*  Bruant à couronne blanche  ( Zonotrichia leucophrys )"	"Chordata"	"Aves"	"Passeriformes"	"Passerellidae"	199518	"Zonotrichia leucophrys"	"Zonotrichia leucophrys (Forster, 1772)"	"Bruant à couronne blanche"					"NA"	"b"									"NO4"	""	
"*  Bruant à gorge blanche  ( Zonotrichia albicollis )"	"Chordata"	"Aves"	"Passeriformes"	"Passerellidae"	199519	"Zonotrichia albicollis"	"Zonotrichia albicollis (Gmelin, 1789)"	"Bruant à gorge blanche"					"NA"	"b"									"NO4"	""	
"*  Bruant masqué  ( Emberiza spodocephala )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	199521	"Emberiza spodocephala"	"Emberiza spodocephala Pallas, 1776"	"Bruant masqué"					"NA"	"b"									"NO4"	""	
"*  Bruant à calotte blanche  ( Emberiza leucocephalos )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	199522	"Emberiza leucocephalos"	"Emberiza leucocephalos S. G. Gmelin, 1771"	"Bruant à calotte blanche"					"NA"	"b"									"NO4"	""	
"*  Bruant à sourcils jaunes  ( Emberiza chrysophrys )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	199526	"Emberiza chrysophrys"	"Emberiza chrysophrys Pallas, 1776"	"Bruant à sourcils jaunes"					"NA"	"b"									"NO4"	""	
"Bruant roux  ( Emberiza rutila )"	"Chordata"	"Aves"	"Passeriformes"	"Emberizidae"	199527	"Emberiza rutila"	"Emberiza rutila Pallas, 1776"	"Bruant roux"					"NA"	"b"											
"*  Tangara écarlate  ( Piranga olivacea )"	"Chordata"	"Aves"	"Passeriformes"	"Cardinalidae"	199534	"Piranga olivacea"	"Piranga olivacea (Gmelin, 1789)"	"Tangara écarlate"					"NA"	"b"									"NO4"	""	
"*  Vacher à tête brune  ( Molothrus ater )"	"Chordata"	"Aves"	"Passeriformes"	"Icteridae"	199551	"Molothrus ater"	"Molothrus ater (Boddaert, 1783)"	"Vacher à tête brune"															"NO4"	""	
"Fulmar de Hall  ( Macronectes halli )"	"Chordata"	"Aves"	"Procellariiformes"	"Procellariidae"	253474	"Macronectes halli"	"Macronectes halli Mathews, 1912"	"Fulmar de Hall, Pétrel de Hall"					"NA"	"b"											
"*  Mouette de Sabine  ( Xema sabini )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	364251	"Xema sabini"	"Xema sabini (Sabine, 1819)"	"Mouette de Sabine"					"NA"	"b"									"NO4"	""	
"*  Héron garde-bœufs  ( Bubulcus ibis ibis )"	"Chordata"	"Aves"	"Pelecaniformes"	"Ardeidae"	418709	"Bubulcus ibis ibis"	"Bubulcus ibis ibis (Linnaeus, 1758)"	"Héron garde-bœufs"															"NO3"	""	
"*  Hirondelle à front blanc  ( Petrochelidon pyrrhonota )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	442197	"Petrochelidon pyrrhonota"	"Petrochelidon pyrrhonota (Vieillot, 1817)"	"Hirondelle à front blanc"					"NA"	"b"									"NO4"	""	
"*  Bécasse d'Amérique  ( Scolopax minor )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	442346	"Scolopax minor"	"Scolopax minor Gmelin, 1789"	"Bécasse d'Amérique"					"NA"	"b"									"NO4"	""	
"*  Albatros à sourcils noirs  ( Thalassarche melanophris )"	"Chordata"	"Aves"	"Procellariiformes"	"Diomedeidae"	442424	"Thalassarche melanophris"	"Thalassarche melanophris (Temminck, 1828)"	"Albatros à sourcils noirs"					"NA"	"b"									"NO4"	""	
"*  -  ( Picus viridis viridis )"	"Chordata"	"Aves"	"Piciformes"	"Picidae"	444422	"Picus viridis viridis"	"Picus viridis viridis Linnaeus, 1758"	""															"NO3"	""	
"*  Bécasseau à échasses  ( Calidris himantopus )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	444423	"Calidris himantopus"	"Calidris himantopus (Bonaparte, 1826)"	"Bécasseau à échasses, Bécasseau échasse"					"NA"	"b"									"NO4"	""	
"Léiothrix jaune  ( Leiothrix lutea )"	"Chordata"	"Aves"	"Passeriformes"	"Leiothrichidae"	444425	"Leiothrix lutea"	"Leiothrix lutea (Scopoli, 1786)"	"Léiothrix jaune, Rossignol du Japon"	"NA"	"a"															
"-  ( Calidris canutus islandica )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	444426	"Calidris canutus islandica"	"Calidris canutus islandica (Linnaeus, 1767)"	""			"NT"	"pr. D2"									"CDO22"	""			
"-  ( Perdix perdix perdix )"	"Chordata"	"Aves"	"Galliformes"	"Phasianidae"	458693	"Perdix perdix perdix"	"Perdix perdix perdix (Linnaeus, 1758)"	""	"LC"	""					"CR"	"D1"					"CDO1, CDO31, CDO21"	"  "			
"*  Chevalier grivelé  ( Actitis macularius )"	"Chordata"	"Aves"	"Charadriiformes"	"Scolopacidae"	459460	"Actitis macularius"	"Actitis macularius (Linnaeus, 1766)"	"Chevalier grivelé"					"NA"	"b"									"NO4"	""	
"*  Hirondelle de fenêtre  ( Delichon urbicum )"	"Chordata"	"Aves"	"Passeriformes"	"Hirundinidae"	459478	"Delichon urbicum"	"Delichon urbicum (Linnaeus, 1758)"	"Hirondelle de fenêtre"	"NT"	"pr. A2b"			"DD"	""	"LC"	""							"NO3"	""	
"Ouette d'Égypte  ( Alopochen aegyptiaca )"	"Chordata"	"Aves"	"Anseriformes"	"Anatidae"	459626	"Alopochen aegyptiaca"	"Alopochen aegyptiaca (Linnaeus, 1766)"	"Ouette d'Égypte, Oie d'Égypte"	"NA"	"a"					"NA"	"a"									
"*  Guifette moustac  ( Chlidonias hybrida )"	"Chordata"	"Aves"	"Charadriiformes"	"Laridae"	459627	"Chlidonias hybrida"	"Chlidonias hybrida (Pallas, 1811)"	"Guifette moustac"	"VU"	"B1ac(iii)"			"NA"	"c"	"NA"	"b"					"CDO1"	""	"NO3"	""	
"Lagopède alpin  ( Lagopus muta )"	"Chordata"	"Aves"	"Galliformes"	"Phasianidae"	459629	"Lagopus muta"	"Lagopus muta (Montin, 1776)"	"Lagopède alpin"	"NT"	"pr. C1"											"CDO21, CDO32"	" "			"Déterminante à critère - Zone de reproduction avec preuve de reproduction"
"*  Pie-grièche isabelle  ( Lanius isabellinus )"	"Chordata"	"Aves"	"Passeriformes"	"Laniidae"	459630	"Lanius isabellinus"	"Lanius isabellinus Hemprich & Ehrenberg, 1833"	"Pie-grièche isabelle"					"NA"	"b"									"NO4"	""	
"*  Roitelet à triple bandeau  ( Regulus ignicapilla )"	"Chordata"	"Aves"	"Passeriformes"	"Regulidae"	459638	"Regulus ignicapilla"	"Regulus ignicapilla (Temminck, 1820)"	"Roitelet à triple bandeau"	"LC"	""	"NA"	"d"	"NA"	"d"	"LC"	""							"NO3"	""	
